handle,item_code,name,page,list_eur,remarks,status
berliner-net-tunnel-4,,Net Tunnel,188,577.0,Every additional linear meter up to 7 m total length,name_only_active
berliner-rubber-bridge-3,,Rubber Bridge,188,4009.0,3 m with stands,name_only_active
berliner-rubber-ramp,,Rubber Ramp,188,3621.0,Incl. handgrips and bottom tube anchoring,name_only_active
berliner-twisted-net-2,,Twisted Net,188,,Price depends on individual project,name_only_on_request
berliner-rubber-mat-hexagon,,Rubber Mat Hexagon,188,438.0,,name_only_active
berliner-rubber-mat-square,,Rubber Mat Square,188,184.0,,name_only_active
berliner-quadropolis-for-jupiter,,Quadropolis for Jupiter,188,,Price depends on individual project,name_only_on_request
berliner-quadropolis-for-mars,,Quadropolis for Mars,188,,Price depends on individual project,name_only_on_request
berliner-hdpe-fort-for-neptun,,HDPE Fort for Neptun,188,16270.0,"Incl. rubber membranes, panels and safety nets",name_only_active
berliner-hdpe-flag,,HDPE Flag,188,674.0,Incl. tube and fixings,name_only_active
berliner-system-net-for-spaceball-xl,,System Net for Spaceball XL,189,2593.0,,name_only_active
berliner-system-net-for-spaceball-l-neptun-maxi-mars-venus,,"System Net for Spaceball L/Neptun/Maxi Mars/
Venus",189,1593.0,,name_only_active
berliner-system-net-for-spaceball-m-jupiter-mars,,System Net for Spaceball M/Jupiter/Mars,189,951.0,,name_only_active
berliner-system-net-for-spaceball-s,,System Net for Spaceball S,189,819.0,,name_only_active
berliner-system-net-for-mini-jupiter-mini-mars,,System Net for Mini Jupiter/Mini Mars,189,833.0,,name_only_active
berliner-access-net-small-type-for-spaceball-xl,,Access Net (Small Type) for Spaceball XL,189,3052.0,,name_only_active
berliner-access-net-small-type-for-spaceball-l,,Access Net (Small Type) for Spaceball L,189,2083.0,,name_only_active
berliner-access-net-small-type-for-spaceball-m,,Access Net (Small Type) for Spaceball M,189,1395.0,,name_only_active
berliner-access-net-small-type-for-spaceball-s,,Access Net (Small Type) for Spaceball S,189,964.0,,name_only_active
berliner-access-net-small-type-for-neptun-phoenix,,Access Net (Small Type) for Neptun/Phoenix,189,1966.0,,name_only_active
berliner-access-net-small-type-for-jupiter-pluto,,Access Net (Small Type) for Jupiter/Pluto,189,1452.0,,name_only_active
berliner-access-net-small-type-for-mini-jupiter,,Access Net (Small Type) for Mini Jupiter,189,1395.0,,name_only_active
berliner-access-net-wide-type-for-neptun-phoenix,,Access Net (Wide Type) for Neptun/Phoenix,189,4031.0,,name_only_active
berliner-access-net-wide-type-for-jupiter-pluto,,Access Net (Wide Type) for Jupiter/Pluto,189,2862.0,,name_only_active
berliner-access-net-wide-type-for-mini-jupiter,,Access Net (Wide Type) for Mini Jupiter,189,2702.0,,name_only_active
berliner-trapeze-access-net-wide-side-up-for-neptun-phoenix,,"Trapeze Access Net Wide Side Up for Neptun/
Phoenix",189,2870.0,,name_only_active
berliner-trapeze-access-net-wide-side-up-for-jupiter-pluto,,Trapeze Access Net Wide Side Up for Jupiter/Pluto,189,2038.0,,name_only_active
berliner-trapeze-access-net-wide-side-up-for-mini-jupiter,,Trapeze Access Net Wide Side Up for Mini Jupiter,189,1695.0,,name_only_active
berliner-trapeze-access-net-wide-side-down-for-spaceball-xl,,"Trapeze Access Net Wide Side Down for
Spaceball XL",189,4191.0,,name_only_active
berliner-trapeze-access-net-wide-side-down-for-spaceball-l,,Trapeze Access Net Wide Side Down for Spaceball L,189,2229.0,,name_only_active
berliner-trapeze-access-net-wide-side-down-for-spaceball-m,,Trapeze Access Net Wide Side Down for ­Spaceball M,189,1518.0,,name_only_active
berliner-trapeze-access-net-wide-side-down-for-spaceball-s-trapeze-access-net-wide-side-down-for-neptun-phoenix,,"Trapeze Access Net Wide Side Down for Spaceball S
Trapeze Access Net Wide Side Down for Neptun/
Phoenix","189
189",,,name_only_on_request
berliner-trapeze-access-net-wide-side-down-for-jupiter-pluto,,"Trapeze Access Net Wide Side Down for Jupiter/
Pluto",189,1826.0,,name_only_active
berliner-trapeze-access-net-wide-side-down-for-mini-jupiter,,Trapeze Access Net Wide Side Down for Mini Jupiter,189,1723.0,,name_only_active
berliner-curved-tunnel-slide-for-neptun,,Curved Tunnel Slide for Neptun,189,17930.0,1/3 tube stainless steel,name_only_active
berliner-tube-slide-for-neptun,,Tube Slide for Neptun,189,22352.0,stainless steel,name_only_active
berliner-straight-box-slide-system-slide-narrow-type-for-neptun,,"Straight Box Slide (system slide narrow type)
for Neptun",189,6621.0,stainless steel,name_only_active
berliner-straight-box-slide-system-slide-wide-type-for-neptun,,"Straight Box Slide (system slide wide type)
for Neptun",190,8304.0,stainless steel,name_only_active
berliner-curved-tunnel-slide-for-jupiter,,Curved Tunnel Slide for Jupiter,189,15106.0,1/3 tube stainless steel,name_only_active
berliner-tube-slide-for-jupiter,,Tube Slide for Jupiter,189,19528.0,stainless steel,name_only_active
berliner-straight-box-slide-system-slide-narrow-type-for-jupiter,,"Straight Box Slide (system slide narrow type)
for Jupiter",189,5981.0,stainless steel,name_only_active
berliner-straight-box-slide-system-slide-wide-type-for-jupiter,,"Straight Box Slide (system slide wide type)
for Jupiter",190,7511.0,stainless steel,name_only_active
berliner-straight-box-slide-system-slide-narrow-type-for-mini-jupiter,,"Straight Box Slide (system slide narrow type)
for Mini Jupiter",189,5660.0,stainless steel,name_only_active
berliner-straight-box-slide-system-slide-wide-type-for-mini-jupiter,,"Straight Box Slide (system slide wide type)
for Mini Jupiter",190,7233.0,stainless steel,name_only_active
berliner-straight-box-slide-system-slide-narrow-type-for-spaceball-xl,,"Straight Box Slide (system slide narrow type)
for Spaceball XL",189,7330.0,stainless steel,name_only_active
berliner-straight-box-slide-system-slide-narrow-type-for-spaceball-l,,"Straight Box Slide (system slide narrow type)
for Spaceball L",189,6621.0,stainless steel,name_only_active
berliner-straight-box-slide-system-slide-narrow-type-for-spaceball-m,,"Straight Box Slide (system slide narrow type)
for Spaceball M",189,5981.0,stainless steel,name_only_active
berliner-straight-box-slide-system-slide-narrow-type-for-spaceball-s,,"Straight Box Slide (system slide narrow type)
for Spaceball S",189,5660.0,stainless steel,name_only_active
berliner-straight-box-slide-system-slide-wide-type-for-spaceball-xl,,"Straight Box Slide (system slide wide type)
for Spaceball XL",190,9173.0,stainless steel,name_only_active
berliner-straight-box-slide-system-slide-wide-type-for-spaceball-l,,"Straight Box Slide (system slide wide type)
for Spaceball L",190,8304.0,stainless steel,name_only_active
berliner-straight-box-slide-system-slide-narrow-type-for-mars,,"Straight Box Slide (system slide narrow type)
for Mars",189,5981.0,stainless steel,name_only_active
berliner-straight-concave-slide,,Straight Concave Slide,189,,Upon request,name_only_on_request
berliner-curved-concave-slide-2,,Curved Concave Slide,189,,Upon request,name_only_on_request
berliner-straight-banister-for-jupiter,,Straight Banister for Jupiter,189,2570.0,,name_only_active
berliner-straight-banister-for-neptun,,Straight Banister for Neptun,189,2862.0,,name_only_active
berliner-curved-banister-for-jupiter,,Curved Banister for Jupiter,189,2570.0,,name_only_active
berliner-curved-banister-for-neptun,,Curved Banister for Neptun,189,2862.0,,name_only_active
berliner-suspension-bridge-4,,Suspension Bridge,189,769.0,Price first meter incl. all end fixings,name_only_active
berliner-suspension-bridge-5,,Suspension Bridge,189,526.0,Every additional linear meter up to 7 m total length,name_only_active
berliner-dormer-entrance,,Dormer Entrance,189,3797.0,,name_only_active
berliner-net-fort,,Net Fort,189,7962.0,,name_only_active
berliner-rubber-nest,,Rubber Nest,189,1930.0,"Consists of 4 × Rubber Mat Hexagon and
1 × Rubber Mat Square",name_only_active
berliner-fast-lane-slide-hdpe-mini-jupiter-mini-mars,,Fast Lane Slide (HDPE) Mini Jupiter/Mini Mars,190,4927.0,"Attachment height approx. 1,2 m",name_only_active
berliner-fast-lane-slide-hdpe-jupiter-mars-net-house-spaceball-m,,"Fast Lane Slide (HDPE) Jupiter/Mars/Net House/
Spaceball M",190,5743.0,"Attachment height approx. 1,5 m",name_only_active
berliner-fast-lane-slide-hdpe-neptun-maxi-mars-spaceball-l,,"Fast Lane Slide (HDPE) Neptun/Maxi Mars/
Spaceball L",190,6596.0,"Attachment height approx. 1,8 m",name_only_active
berliner-91-200-040,91.200.040,Pentagode XL,198,27251.0,,active
berliner-91-200-030,91.200.030,Pentagode L,199,19921.0,,active
berliner-91-200-020,91.200.020,Pentagode M,199,18388.0,,active
berliner-91-200-010,91.200.010,Pentagode S,199,14592.0,,active
berliner-712-000-5350,712.000.5350,Tetragode 5350,202,15977.0,,active
berliner-712-000-9300,712.000.9300,Tetragode 9300,202,44724.0,,active
berliner-712-000-7400,712.000.7400,Tetragode 7400,203,24259.0,,active
berliner-712-000-6100,712.000.6100,Tetragode 6100,203,18915.0,,active
berliner-712-000-3850,712.000.3850,Tetragode 3850,203,13524.0,,active
berliner-712-000-7461-003,712.000.7461.003,Tetragode 7461.03 (with crow’s nest),204,62838.0,,active
berliner-712-000-3852,712.000.3852,Tetragode 3852,205,23891.0,,active
berliner-712-000-3854,712.000.3854,Tetragode 3854,205,47363.0,,active
berliner-712-000-2901,712.000.2901,Trigode 2901,206,7388.0,,active
berliner-access-net-2,,Access Net,208,,Price depends on individual project,name_only_on_request
berliner-flag-2,,Flag,208,674.0,,name_only_active
berliner-greenville-house,,Greenville House,208,,Price depends on individual project,name_only_on_request
berliner-rubber-nest-2,,Rubber Nest,208,,Price depends on individual project,name_only_on_request
berliner-rubber-seat,,Rubber Seat,208,348.0,Incl. all fixings to structure,name_only_active
berliner-rubber-sleave,,Rubber Sleave,208,438.0,Incl. all fixings to structure,name_only_active
berliner-rubber-mats-2,,Rubber Mats,208,184.0,Incl. all fixings to structure,name_only_active
berliner-hdpe-panels,,HDPE Panels,208,190.0,Incl. all fixings to structure,name_only_active
berliner-climbing-rope,,Climbing Rope,208,,Price depends on individual project,name_only_on_request
berliner-crow-s-nest,,Crow’s Nest,208,21233.0,,name_only_active
berliner-crow-s-nest-with-flag,,Crow’s Nest with Flag,208,21908.0,,name_only_active
berliner-net-sack,,Net Sack,208,2097.0,,name_only_active
berliner-pendulum-seat,,Pendulum Seat,208,886.0,Incl. all fixings to structure,name_only_active
berliner-slide-2,,Slide,208,,Price depends on individual project,name_only_on_request
berliner-sling-bridge,,Sling Bridge,208,,Price depends on individual project,name_only_on_request
berliner-rubber-sling-seat,,Rubber Sling Seat,208,,Price depends on individual project,name_only_on_request
berliner-slackline,,Slackline,208,,Price depends on individual project,name_only_on_request
berliner-twisted-net-3,,Twisted Net,208,,Price depends on individual project,name_only_on_request
berliner-ladder-curly1,,Ladder Curly1,235,976.0,,name_only_active
berliner-ladder-curly2,,Ladder Curly2,235,1428.0,,name_only_active
berliner-ladder-curly3,,Ladder Curly3,235,1940.0,,name_only_active
berliner-suspension-bridge-6,,Suspension Bridge,235,3234.0,,name_only_active
berliner-net-tunnel-5,,Net Tunnel,235,14717.0,,name_only_active
berliner-small-ramp-curly045,,Small Ramp Curly045,235,1103.0,,name_only_active
berliner-small-ramp-curly1,,Small Ramp Curly1,235,2641.0,,name_only_active
berliner-90-293-787,90.293.787,Curly045.01,236,14969.0,,active
berliner-90-293-784,90.293.784,Curly1.02,236,17757.0,,active
berliner-90-293-786,90.293.786,Curly2.02,237,25907.0,,active
berliner-90-293-711,90.293.711,Curly3.01,237,25702.0,,active
berliner-90-293-789,90.293.789,CurlyCombi.01,238,166879.0,,active
berliner-90-293-791,90.293.791,CurlyCombi.02,239,45748.0,,active
berliner-crossed-stairway,,Crossed Stairway,242,2806.0,"Length: 4,24 m | price without posts",name_only_active
berliner-crossed-stairway-2,,Crossed Stairway,242,3316.0,"Length: 6,00 m | price without posts",name_only_active
berliner-crossed-rubber,,Crossed Rubber,242,3637.0,"Length: 4,24 m | price without posts",name_only_active
berliner-crossed-rubber-2,,Crossed Rubber,242,4324.0,"Length: 6,00 m | price without posts",name_only_active
berliner-air-walk,,Air Walk,242,2330.0,"Length: 4,24 m | price without posts",name_only_active
berliner-air-walk-2,,Air Walk,242,2731.0,"Length: 6,00 m | price without posts",name_only_active
berliner-layaway-walk-layaway-walk,,"Layaway Walk
Layaway Walk","242
242",,"Length: 4,24 m | price without posts
Length: 6,00 m | price without posts",name_only_on_request
berliner-floating-net,,Floating Net,242,3272.0,"Length: 4,24 m | price without posts",name_only_active
berliner-floating-net-2,,Floating Net,242,3609.0,"Length: 6,00 m | price without posts",name_only_active
berliner-sway-bridge,,Sway Bridge,242,2892.0,"Length: 4,24 m | price without posts",name_only_active
berliner-sway-bridge-2,,Sway Bridge,242,3475.0,"Length: 6,00 m | price without posts",name_only_active
berliner-net-helix,,Net Helix,242,1402.0,"Length: 4,24 m | price without posts",name_only_active
berliner-net-helix-2,,Net Helix,242,1652.0,"Length: 6,00 m | price without posts",name_only_active
berliner-inverted-ladder,,Inverted Ladder,242,2673.0,"Length: 4,24 m | price without posts",name_only_active
berliner-inverted-ladder-2,,Inverted Ladder,242,3067.0,"Length: 6,00 m | price without posts",name_only_active
berliner-panel-bridge-2,,Panel Bridge,242,2209.0,"Length: 4,24 m | price without posts",name_only_active
berliner-panel-bridge-3,,Panel Bridge,242,3125.0,"Length: 6,00 m | price without posts",name_only_active
berliner-rope-sweep,,Rope Sweep,242,1227.0,"Length: 4,24 m | price without posts",name_only_active
berliner-rope-sweep-2,,Rope Sweep,242,1734.0,"Length: 6,00 m | price without posts",name_only_active
berliner-balancing-cable-with-handrail,,Balancing Cable with Handrail,242,490.0,3 m straight Terranos system length,name_only_active
berliner-balancing-cable-with-handrail-2,,Balancing Cable with Handrail,242,526.0,"4,24 m diagonal Terranos system length",name_only_active
berliner-balancing-cable-with-loop-rope,,Balancing Cable with Loop Rope,242,729.0,Length 3 m | price without posts,name_only_active
berliner-loop-rope-3,,Loop Rope,242,300.0,Price first meter incl. all end fixings,name_only_active
berliner-loop-rope-4,,Loop Rope,242,93.0,Every additional linear meter up to 7 m total length,name_only_active
berliner-loop-rope-5,,Loop Rope,242,484.0,3 m straight Terranos system length,name_only_active
berliner-loop-rope-6,,Loop Rope,242,595.0,"4,24 m diagonal Terranos system length",name_only_active
berliner-balancing-cable-with-hand-over-hand-ladder,,Balancing Cable with Hand-over-Hand Ladder,242,889.0,Length 3 m | Price without posts,name_only_active
berliner-hand-over-hand-ladder-3,,Hand-over-Hand Ladder,242,383.0,Price first meter incl. all end fixings,name_only_active
berliner-hand-over-hand-ladder-4,,Hand-over-Hand Ladder,242,130.0,Every additional linear meter up to 7 m total length,name_only_active
berliner-climbing-rope-2,,Climbing Rope,242,510.0,"3 m straight Terranos system length, 1 × vertical rope
with rubber cylinders",name_only_active
berliner-climbing-rope-3,,Climbing Rope,242,650.0,"4,24 m diagonal Terranos system length, 2 × vertical
ropes with rubber cylinders",name_only_active
berliner-climbing-rope-several,,Climbing Rope (several),242,,Price depends on individual project,name_only_on_request
berliner-slope-climbing-rope,,Slope Climbing Rope,242,,Price depends on individual project,name_only_on_request
berliner-hammock-2,,Hammock,242,2454.0,Price without posts,name_only_active
berliner-rubber-hammock,,Rubber Hammock,242,2454.0,Price without posts,name_only_active
berliner-chessboard-bridge-2,,Chessboard Bridge,243,2629.0,Length 3 m | Price without posts,name_only_active
berliner-rubber-bridge-4,,Rubber Bridge,243,1820.0,Length 3 m | Price without posts,name_only_active
berliner-95-173-294,95.173.294,Terrano.3294,216,85937.0,,active
berliner-95-173-295,95.173.295,Terrano.3295,217,46804.0,,active
berliner-95-171-728,95.171.728,Terrano.1728,218,46850.0,,active
berliner-95-171-250,95.171.250,Terrano.1250,219,64113.0,,active
berliner-95-172-059,95.172.059,Terrano.2059,219,55757.0,,active
berliner-95-172-696,95.172.696,Terrano.2696,220,30321.0,,active
berliner-95-171-895,95.171.895,Terrano.1895,220,18343.0,,active
berliner-95-171-893,95.171.893,Terrano.1893,221,64330.0,,active
berliner-95-172-474,95.172.474,Terrano.2474,221,17285.0,,active
berliner-95-171-970,95.171.970,Terrano.1970,222,48875.0,,active
berliner-95-171-627,95.171.627,Chessboard Cube.01,222,14893.0,,active
berliner-95-173-532,95.173.532,Chessboard Cube.02,223,26990.0,,active
berliner-95-180-010-95-180-020,"95.180.010
95.180.020","Sculptura.01
Sculptura.02","224
224",,,on_request
berliner-95-180-030,95.180.030,Sculptura.03,224,10574.0,,active
berliner-95-171-684,95.171.684,Octagon Star Climber,225,10734.0,,active
berliner-95-170-658,95.170.658,Terrano.658,225,6484.0,,active
berliner-95-171-726,95.171.726,Terrano.1726,226,10340.0,,active
berliner-95-172-477,95.172.477,Terrano.2477,226,16920.0,,active
berliner-95-171-935,95.171.935,Terrano.1935,227,38702.0,,active
berliner-96-180-003,96.180.003,Terranova.3,228,59741.0,,active
berliner-96-180-004,96.180.004,Terranova.4,229,27261.0,,active
berliner-96-180-006,96.180.006,Terranova.6,230,16365.0,,active
berliner-96-180-014,96.180.014,Terranova.14,231,23884.0,,active
berliner-96-180-009,96.180.009,Terranova.9,231,50446.0,,active
berliner-96-180-141,96.180.141,Terranova.141,232,16080.0,,active
berliner-96-180-179,96.180.179,Terranova.179,232,11231.0,,active
berliner-96-180-104,96.180.104,Terranova.104,233,23922.0,,active
berliner-96-180-159,96.180.159,Terranova.159,233,6326.0,,active
berliner-banister-curly1,,Banister Curly1,235,2140.0,,name_only_active
berliner-banister-curly2,,Banister Curly2,235,3355.0,,name_only_active
berliner-fast-lane-slide-curly1,,Fast Lane Slide Curly1,235,4589.0,Attachment height approx. 1 m,name_only_active
berliner-fast-lane-slide-curly2,,Fast Lane Slide Curly2,235,7084.0,Attachment height approx. 2 m,name_only_active
berliner-stainless-steel-slide-curly3,,Stainless Steel Slide Curly3,235,19528.0,,name_only_active
berliner-sliding-pole-curly1,,Sliding Pole Curly1,235,562.0,,name_only_active
berliner-sliding-pole-curly2,,Sliding Pole Curly2,235,671.0,,name_only_active
berliner-climbing-ascent-curly1,,Climbing Ascent Curly1,235,1564.0,,name_only_active
berliner-climbing-ascent-curly2,,Climbing Ascent Curly2,235,2823.0,,name_only_active
berliner-climbing-ascent-curly3,,Climbing Ascent Curly3,235,4924.0,,name_only_active
berliner-rope-ladder-curly1,,Rope Ladder Curly1,235,447.0,,name_only_active
berliner-rope-ladder-curly2,,Rope Ladder Curly2,235,669.0,,name_only_active
berliner-rope-ladder-curly3,,Rope Ladder Curly3,235,810.0,,name_only_active
berliner-rung-bridge,,Rung Bridge,243,1052.0,Length 3 m | Price without posts,name_only_active
berliner-suspension-bridge-with-security-net,,Suspension Bridge with Security Net,243,,Upon request,name_only_on_request
berliner-jungle-bridge-3,,Jungle Bridge,243,2768.0,Length 3 m | Price without posts,name_only_active
berliner-suspension-bridge-7,,Suspension Bridge,243,769.0,Price first meter incl. all end fixings,name_only_active
berliner-suspension-bridge-8,,Suspension Bridge,243,526.0,Every addional running meter up to 7 m total length,name_only_active
berliner-liana-tunnel-3m,,Liana Tunnel 3m,243,3331.0,Price without posts,name_only_active
berliner-liana-bridge-3m,,Liana Bridge 3m,243,2658.0,Price without posts,name_only_active
berliner-rubber-tube-3m,,Rubber Tube 3m,243,4645.0,Price without posts,name_only_active
berliner-harp-net,,Harp Net,243,914.0,3 m straight Terranos system length,name_only_active
berliner-harp-net-2,,Harp Net,243,1341.0,"4,24 m diagonal Terranos system length",name_only_active
berliner-spider-s-web-vertical,,Spider’s Web (vertical),243,2293.0,Price without posts,name_only_active
berliner-spider-s-web-horizontal,,Spider’s Web (horizontal),243,3092.0,Price without posts,name_only_active
berliner-quad-net-vertical,,Quad Net (vertical),243,1212.0,Price without posts,name_only_active
berliner-quad-net-horizontal,,Quad Net (horizontal),243,1943.0,Railing ropes not included,name_only_active
berliner-folded-net,,Folded Net,243,1374.0,Railing ropes not included,name_only_active
berliner-net-funnel,,Net Funnel,243,2257.0,Price without posts,name_only_active
berliner-double-net-funnel,,Double Net Funnel,243,4390.0,Price without posts,name_only_active
berliner-space-cell,,Space Cell,243,2580.0,Price without posts,name_only_active
berliner-octagon-star-climber,,Octagon Star Climber,243,10734.0,,name_only_active
berliner-net-passage,,Net Passage,243,2133.0,Price without posts,name_only_active
berliner-triangular-net,,Triangular Net,243,1139.0,Railing ropes not included,name_only_active
berliner-double-trapeze-net,,Double Trapeze Net,243,2862.0,Railing ropes not included,name_only_active
berliner-net-sack-2,,Net Sack,243,2257.0,Railing ropes not included,name_only_active
berliner-slide-3,,Slide,243,,Price depends on individual project,name_only_on_request
berliner-chessboard-cube,,Chessboard Cube,244,14893.0,Price incl. posts,name_only_active
berliner-rubber-quad-net,,Rubber Quad Net,244,2259.0,Price without posts,name_only_active
berliner-rubber-space-cell,,Rubber Space Cell,244,6400.0,Price without posts,name_only_active
berliner-climbing-pole,,Climbing Pole,244,,Price depends on individual project,name_only_on_request
berliner-rocking-plates,,Rocking Plates,244,,Price depends on individual project,name_only_on_request
berliner-posts-labyrinth,,Posts Labyrinth,244,,Price depends on individual project,name_only_on_request
berliner-balancing-balls-2,,Balancing Balls,244,,Price depends on individual project,name_only_on_request
berliner-slackline-2,,Slackline,244,798.0,"Length: 4,24 m | price without posts",name_only_active
berliner-slackline-3,,Slackline,244,1001.0,"Length: 6,00 m | price without posts",name_only_active
berliner-triangular-slackline,,Triangular Slackline,244,3464.0,"Length: 5,00 m | price including clamps & tensioning
device, without posts",name_only_active
berliner-rubber-slackline,,Rubber Slackline,244,1787.0,"Length: 3,00 m | price with platforms",name_only_active
berliner-shade-l,,Shade L,244,15043.0,,name_only_active
berliner-shade-s,,Shade S,244,12781.0,,name_only_active
berliner-leaf-s,,Leaf S,244,845.0,Price without fixings,name_only_active
berliner-leaf-m,,Leaf M,244,906.0,Price without fixings,name_only_active
berliner-leaf-l,,Leaf L,244,1072.0,Price without fixings,name_only_active
berliner-satellights-3,,Satellights,244,25283.0,,name_only_active
berliner-solar-explorer-2,,Solar Explorer,244,595.0,Price without base panel,name_only_active
berliner-tile-slide-fish-2,,Tile Slide Fish,244,531.0,Price without base panel,name_only_active
berliner-maze-slider-2,,Maze Slider,244,531.0,Price without base panel,name_only_active
berliner-roller-ball-2,,Roller Ball,244,595.0,Price without base panel,name_only_active
berliner-spin-maze-2,,Spin Maze,244,531.0,Price without base panel,name_only_active
berliner-level-3-2,,Level 3,244,531.0,Price without base panel,name_only_active
berliner-tumble-turn-2,,Tumble Turn,244,531.0,Price without base panel,name_only_active
berliner-make-it-rain-2,,Make It Rain,244,595.0,Price without base panel,name_only_active
berliner-spin-dice-2,,Spin Dice,244,595.0,Price without base panel,name_only_active
berliner-spin-maracas-2,,Spin Maracas,244,1063.0,Price without base panel,name_only_active
berliner-chimes-2,,Chimes,244,1265.0,Price without base panel,name_only_active
berliner-bongos-2,,Bongos,244,950.0,Price without base panel,name_only_active
berliner-standard-swing-seat,,Standard Swing Seat,251,49.0,Price without chains & swivels,name_only_active
berliner-toddler-seat,,Toddler Seat,251,188.0,Price without chains & swivels,name_only_active
berliner-toddler-couple-seat,,Toddler-Couple-Seat,251,3165.0,Price incl. chains & swivels,name_only_active
berliner-couple-seat,,Couple Seat,251,3026.0,Price incl. chains & swivels,name_only_active
berliner-nest-seat,,Nest Seat,251,,Price depends on individual project,name_only_on_request
berliner-inclusion-seat,,Inclusion Seat,251,2185.0,Price without swivels,name_only_active
berliner-90-260-501,90.260.501,Swingo.2.1,252,2147.0,,active
berliner-90-260-503,90.260.503,Swingo.2.3,252,2995.0,,active
berliner-90-260-502,90.260.502,Swingo.2.2,252,3607.0,,active
berliner-90-260-504,90.260.504,Swingo.2.4,252,4072.0,,active
berliner-90-160-140,90.160.140,Swingo.01,253,2114.0,,active
berliner-90-160-150,90.160.150,Swingo.03,253,3582.0,,active
berliner-90-160-141,90.160.141,Swingo.02,253,3050.0,,active
berliner-90-160-151,90.160.151,Swingo.04,253,3448.0,,active
berliner-90-340-049,90.340.049,Double Swingo 2.2,254,7259.0,"1 × Standard Swing Seat, 2 × Toddler Seat,
1 × Inclusion Seat",active
berliner-90-340-049-2,90.340.049,Double Swingo 2.2,254,5578.0,4 × Standard Swing Seat,active
berliner-95-190-484,95.190.484,Elbow Swing,255,4761.0,,active
berliner-90-260-510,90.260.510,Sky Swing,255,4904.0,,active
berliner-90-260-520,90.260.520,Face-to-Face Swing,256,14479.0,,active
berliner-90-260-533,90.260.533,Net Swing,257,5609.0,,active
berliner-95-170-196,95.170.196,Hammock,257,4046.0,With balls,active
berliner-95-190-263,95.190.263,Palmetto Saucer,258,2534.0,,active
berliner-97-100-025,97.100.025,Cloud 9,259,4950.0,,active
berliner-95-171-311,95.171.311,Double Cloud 9,259,8987.0,,active
berliner-90-260-532,90.260.532,Bowl Swing,260,5303.0,,active
berliner-90-260-531,90.260.531,Cup Swing,260,5303.0,,active
berliner-90-260-534,90.260.534,Arch Swing,261,6416.0,,active
berliner-90-340-055,90.340.055,Side-by-Side Swing,261,12002.0,,active
berliner-95-190-725-001,95.190.725.001,Float Swing,262,28412.0,,active
berliner-95-190-809,95.190.809,VIP Swing 2.0,262,10344.0,,active
berliner-97-100-026,97.100.026,VIP Swing,263,6104.0,,active
berliner-95-190-605,95.190.605,Liana,263,5529.0,,active
berliner-90-261-100,90.261.100,Monkey Jibe,264,8395.0,,active
berliner-90-340-097,90.340.097,O’Tannebaum 3.1,265,7867.0,,active
berliner-90-340-045,90.340.045,O’Tannebaum 2.5,265,5813.0,,active
berliner-90-260-101,90.260.101,Eddie.01,266,2057.0,,active
berliner-90-260-102,90.260.102,Eddie.02,266,2057.0,,active
berliner-90-260-103,90.260.103,Eddie.03,266,2057.0,,active
berliner-90-260-104,90.260.104,Eddie.04,267,2057.0,,active
berliner-90-260-105,90.260.105,Eddie.05,267,2500.0,,active
berliner-90-260-301-2,90.260.301.2,Disk XL,268,11902.0,,active
berliner-90-260-301-1,90.260.301.1,Disk L,268,7459.0,,active
berliner-90-260-304,90.260.304,Picadilly Circle.2.2,269,7459.0,,active
berliner-90-260-305,90.260.305,Little Big Ben.2.2,269,5038.0,,active
berliner-90-261-200,90.261.200,Access Whirl,270,,Upon request,on_request
berliner-90-260-308,90.260.308,Fireball.3.1,270,5101.0,,active
berliner-95-200-010,95.200.010,Albero.01,271,9765.0,,active
berliner-95-200-020-90-260-801,"95.200.020
90.260.801","Albero.02
Abakus.2.1","271
272",,,on_request
berliner-90-260-803,90.260.803,Butterfly,273,6025.0,,active
berliner-90-260-802,90.260.802,Freeride,273,6338.0,,active
berliner-90-260-960,90.260.960,Windrider,274,6977.0,,active
berliner-90-260-201,90.260.201,Cat Tail.01,274,3059.0,,active
berliner-90-260-202,90.260.202,Cat Tail.02,274,3059.0,,active
berliner-90-260-203,90.260.203,Cat Tail.03,274,3059.0,,active
berliner-90-260-930,90.260.930,Hula-Loop.01,275,2878.0,,active
berliner-90-260-940,90.260.940,Hula-Loop.02,275,2878.0,,active
berliner-90-260-615-1,90.260.615.1,Over Easy,276,4316.0,,active
berliner-90-260-920,90.260.920,Swallow Tail,277,2868.0,,active
berliner-90-260-910,90.260.910,Pin Tail,277,2868.0,,active
berliner-90-260-614-1,90.260.614.1,Beetle.01,278,1383.0,,active
berliner-90-260-614-2,90.260.614.2,Beetle.02,278,1383.0,,active
berliner-90-260-614-3,90.260.614.3,Beetle.03,278,1383.0,,active
berliner-90-261,90.261,Number.0 - 9,279,3433.0,Price per piece,active
berliner-95-172-475,95.172.475,Parallelo,281,3555.0,,active
berliner-95-190-010,95.190.010,Horizonto.3,281,3637.0,,active
berliner-95-190-481,95.190.481,Calisthenics.02,282,44607.0,,active
berliner-95-190-713,95.190.713,Calisthenics.05,282,26654.0,,active
berliner-95-190-564,95.190.564,Calisthenics.03,283,31333.0,,active
berliner-95-190-507,95.190.507,Calisthenics.04,283,31333.0,,active
berliner-90-660-012-410-51,90.660.012.410.51,Bouncers.01,284,4772.0,Incl. special coating,active
