handle,item_code,name,page,status,list_eur,eur_fob,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,freight_thb,duty_thb,vat_thb,remarks
berliner-90-292-402-0,90.292.402.0,Triitopia.20,60,active,181089.0,153925.65,0.0,flat_uplift,8060069.61,8060069.61,0.35,floored,13433449.35,406492.81,346332.71,0.0,0.0,0.0,Price with stainless steel slide
berliner-90-292-400-4,90.292.400.4,Triitopia.04,61,active,62938.0,53497.3,0.0,flat_uplift,2801300.25,2801300.25,0.35,floored,4668833.75,141277.74,120368.92,0.0,0.0,0.0,
berliner-90-292-400-7,90.292.400.7,Triitopia.07,61,active,55080.0,46818.0,0.0,flat_uplift,2451549.43,2451549.43,0.35,,4085915.72,123638.79,105340.5,0.0,0.0,0.0,
berliner-90-292-400-8,90.292.400.8,Triitopia.08,62,active,186657.0,158658.45,0.0,flat_uplift,8307895.09,8307895.09,0.35,,13846491.82,418991.38,356981.51,0.0,0.0,0.0,
berliner-90-292-400-5,90.292.400.5,Triitopia.05,62,active,80603.0,68512.55,0.0,flat_uplift,3587549.72,3587549.72,0.35,,5979249.53,180930.59,154153.24,0.0,0.0,0.0,
berliner-90-292-402-1,90.292.402.1,Triitopia.21,63,active,104447.0,88779.95,0.0,flat_uplift,4648819.59,4648819.59,0.35,,7748032.65,234453.53,199754.89,0.0,0.0,0.0,
berliner-90-292-010,90.292.010,Trii Base,65,active,7200.0,6120.0,0.0,flat_uplift,344202.05,320463.98,0.45,floored,573670.08,17359.11,14790.0,0.0,0.0,0.0,
berliner-trii1,,Trii1,65,name_only_active,14172.0,12046.2,0.0,flat_uplift,630779.93,630779.93,0.35,,1051299.88,31812.07,27103.95,0.0,0.0,0.0,
berliner-trii2,,Trii2,65,name_only_active,13907.0,11820.95,0.0,flat_uplift,618985.07,618985.07,0.35,floored,1031641.78,31217.22,26597.14,0.0,0.0,0.0,
berliner-trii3,,Trii3,65,name_only_active,15291.0,12997.35,0.0,flat_uplift,680585.37,680585.37,0.35,floored,1134308.95,34323.9,29244.04,0.0,0.0,0.0,
berliner-quii,,Quii,65,name_only_active,9600.0,8160.0,0.0,flat_uplift,458936.07,427285.3,0.45,floored,764893.45,23145.48,19720.0,0.0,0.0,0.0,
berliner-90-292-100-1,90.292.100.1,Trii1.01,66,active,15148.0,12875.8,0.0,flat_uplift,674220.6,674220.6,0.35,floored,1123701.0,34002.91,28970.55,0.0,0.0,0.0,
berliner-90-292-200-8,90.292.200.8,Trii2.08,66,active,26396.0,22436.6,0.0,flat_uplift,1174856.55,1174856.55,0.35,,1958094.25,59251.44,50482.35,0.0,0.0,0.0,
berliner-90-292-300-3,90.292.300.3,Trii3.03,67,active,36098.0,30683.3,0.0,flat_uplift,1606681.76,1606681.76,0.35,,2677802.93,81029.65,69037.43,0.0,0.0,0.0,
berliner-90-292-201-4,90.292.201.4,Trii2.14,67,active,15333.0,13033.05,0.0,flat_uplift,682454.75,682454.75,0.35,,1137424.58,34418.18,29324.36,0.0,0.0,0.0,
berliner-90-293-102,90.293.102,Greenville Combi.102,68,active,40430.0,34365.5,0.0,flat_uplift,1799494.25,1799494.25,0.35,floored,2999157.08,90753.74,77322.37,0.0,0.0,0.0,
berliner-90-293-061,90.293.061,Greenville Combi.061,69,active,26375.0,22418.75,0.0,flat_uplift,1173921.86,1173921.86,0.35,floored,1956536.43,59204.3,50442.19,0.0,0.0,0.0,
berliner-90-293-039,90.293.039,Greenville Combi.039,70,active,78305.0,66559.25,0.0,flat_uplift,3485268.3,3485268.3,0.35,,5808780.5,175772.24,149758.31,0.0,0.0,0.0,
berliner-90-293-362,90.293.362,Greenville Combi.362,70,active,61926.0,52637.1,0.0,flat_uplift,2756257.26,2756257.26,0.35,,4593762.1,139006.09,118433.48,0.0,0.0,0.0,Price with stainless steel box slide
berliner-90-293-207,90.293.207,Greenville Combi.207,71,active,115786.0,98418.1,0.0,flat_uplift,5153505.85,5153505.85,0.35,,8589176.42,259906.33,221440.73,0.0,0.0,0.0,
berliner-90-293-155,90.293.155,Greenville Combi.155,72,active,38306.0,32560.1,0.0,flat_uplift,1704957.38,1704957.38,0.35,,2841595.63,85985.97,73260.23,0.0,0.0,0.0,
berliner-90-293-307,90.293.307,Greenville Combi.307,73,active,54030.0,45925.5,0.0,flat_uplift,2404815.1,2404815.1,0.35,,4008025.17,121281.84,103332.38,0.0,0.0,0.0,Price with straight concave stainless steel slide
berliner-90-293-641,90.293.641,Greenville Combi.641,73,active,77922.0,66233.7,0.0,flat_uplift,3468221.4,3468221.4,0.35,,5780369.0,174912.52,149025.83,0.0,0.0,0.0,
berliner-90-293-077,90.293.077,Greenville Combi.077,75,on_request,,,0.0,n/a,,,,,,,,,,,Upon request
berliner-90-293-479,90.293.479,Greenville Combi.479,76,active,56984.0,48436.4,0.0,flat_uplift,2536294.35,2536294.35,0.35,,4227157.25,127912.72,108981.9,0.0,0.0,0.0,
berliner-ladder-trii1,,Ladder Trii1,77,name_only_active,976.0,829.6,0.0,flat_uplift,51485.24,43440.67,0.6,floored,85808.73,2596.55,2212.27,0.0,0.0,0.0,
berliner-ladder-trii2,,Ladder Trii2,77,name_only_active,1427.0,1212.95,0.0,flat_uplift,75276.07,63514.18,0.6,floored,125460.12,3796.39,3234.53,0.0,0.0,0.0,
berliner-ladder-trii3,,Ladder Trii3,77,name_only_active,1940.0,1649.0,0.0,flat_uplift,102337.47,86347.24,0.6,floored,170562.45,5161.18,4397.33,0.0,0.0,0.0,
berliner-rope-ladder-trii1,,Rope Ladder Trii1,77,name_only_active,447.0,379.95,0.0,flat_uplift,26527.3,19895.47,0.8,floored,44212.17,1337.85,1139.85,0.0,0.0,0.0,
berliner-rope-ladder-trii2,,Rope Ladder Trii2,77,name_only_active,669.0,568.65,0.0,flat_uplift,35290.6,29776.44,0.6,floored,58817.67,1779.81,1516.4,0.0,0.0,0.0,
berliner-rope-ladder-trii3,,Rope Ladder Trii3,77,name_only_active,810.0,688.5,0.0,flat_uplift,42728.53,36052.2,0.6,floored,71214.22,2154.92,1836.0,0.0,0.0,0.0,
berliner-ramp-trii1,,Ramp Trii1,77,name_only_active,2877.0,2445.45,0.0,flat_uplift,137537.4,128052.06,0.45,floored,229229.0,6936.41,5909.84,0.0,0.0,0.0,
berliner-ramp-trii2,,Ramp Trii2,77,name_only_active,4205.0,3574.25,0.0,flat_uplift,201023.56,187159.86,0.45,floored,335039.27,10138.2,8637.77,0.0,0.0,0.0,
berliner-ramp-trii3,,Ramp Trii3,77,name_only_active,5717.0,4859.45,0.0,flat_uplift,273305.99,254457.3,0.45,floored,455509.98,13783.62,11743.67,0.0,0.0,0.0,
berliner-stairway-trii1,,Stairway Trii1,77,name_only_active,2630.0,2235.5,0.0,flat_uplift,125729.36,117058.37,0.45,floored,209548.93,6340.9,5402.46,0.0,0.0,0.0,
berliner-inner-net-trii1,,Inner Net Trii1,77,name_only_active,824.0,700.4,0.0,flat_uplift,43467.05,36675.32,0.6,floored,72445.08,2192.17,1867.73,0.0,0.0,0.0,
berliner-inner-net-trii2,,Inner Net Trii2,77,name_only_active,1425.0,1211.25,0.0,flat_uplift,75170.56,63425.16,0.6,floored,125284.27,3791.07,3230.0,0.0,0.0,0.0,
berliner-inner-net-trii3,,Inner Net Trii3,77,name_only_active,2239.0,1903.15,0.0,flat_uplift,118110.1,99655.4,0.6,floored,196850.17,5956.64,5075.07,0.0,0.0,0.0,
berliner-access-net-trii1,,Access Net Trii1,77,name_only_active,2215.0,1882.75,0.0,flat_uplift,116844.07,98587.18,0.6,floored,194740.12,5892.79,5020.67,0.0,0.0,0.0,
berliner-access-net-trii2,,Access Net Trii2,77,name_only_active,2412.0,2050.2,0.0,flat_uplift,115307.69,107355.43,0.45,floored,192179.48,5815.3,4954.65,0.0,0.0,0.0,
berliner-access-net-trii3,,Access Net Trii3,77,name_only_active,2898.0,2463.3,0.0,flat_uplift,138541.33,128986.75,0.45,floored,230902.22,6987.04,5952.98,0.0,0.0,0.0,
berliner-twisted-net,,Twisted Net,77,name_only_active,2399.0,2039.15,0.0,flat_uplift,114686.21,106776.82,0.45,floored,191143.68,5783.96,4927.95,0.0,0.0,0.0,Price without posts
berliner-suspension-bridge,,Suspension Bridge,77,name_only_active,3234.0,2748.9,0.0,flat_uplift,154604.09,143941.74,0.45,floored,257673.48,7797.14,6643.18,0.0,0.0,0.0,Length 3 m
berliner-rubber-bridge,,Rubber Bridge,77,name_only_active,2200.0,1870.0,0.0,flat_uplift,116052.8,97919.55,0.6,floored,193421.33,5852.88,4986.67,0.0,0.0,0.0,Length 3 m
berliner-net-tunnel,,Net Tunnel,77,name_only_active,14717.0,12509.45,0.0,flat_uplift,655037.27,655037.27,0.35,floored,1091728.78,33035.44,28146.26,0.0,0.0,0.0,Length 3 m
berliner-sliding-pole-trii1,,Sliding Pole Trii1,77,name_only_active,562.0,477.7,0.0,flat_uplift,33351.99,25013.99,0.8,floored,55586.65,1682.04,1433.1,0.0,0.0,0.0,
berliner-sliding-pole-trii2,,Sliding Pole Trii2,77,name_only_active,671.0,570.35,0.0,flat_uplift,35396.1,29865.46,0.6,floored,58993.5,1785.13,1520.93,0.0,0.0,0.0,
berliner-banister-trii1,,Banister Trii1,77,name_only_active,2138.0,1817.3,0.0,flat_uplift,112782.22,95160.0,0.6,floored,187970.37,5687.94,4846.13,0.0,0.0,0.0,
berliner-banister-trii2,,Banister Trii2,77,name_only_active,3353.0,2850.05,0.0,flat_uplift,160292.98,149238.29,0.45,floored,267154.97,8084.04,6887.62,0.0,0.0,0.0,
berliner-stainless-steel-slide-trii1,,Stainless Steel Slide Trii1,77,name_only_active,5660.0,4811.0,0.0,flat_uplift,270581.06,251920.29,0.45,floored,450968.43,13646.19,11626.58,0.0,0.0,0.0,Straight box stainless steel slide
berliner-stainless-steel-slide-trii1-2,,Stainless Steel Slide Trii1,77,name_only_active,6543.0,5561.55,0.0,flat_uplift,312793.61,291221.64,0.45,floored,521322.68,15775.09,13440.41,0.0,0.0,0.0,Straight concave stainless steel slide
berliner-stainless-steel-slide-trii2,,Stainless Steel Slide Trii2,77,name_only_active,6621.0,5627.85,0.0,flat_uplift,316522.47,294693.33,0.45,floored,527537.45,15963.15,13600.64,0.0,0.0,0.0,Straight box stainless steel slide
berliner-stainless-steel-slide-trii2-2,,Stainless Steel Slide Trii2,77,name_only_active,9405.0,7994.25,0.0,flat_uplift,449613.93,418606.07,0.45,floored,749356.55,22675.34,19319.44,0.0,0.0,0.0,Straight concave stainless steel slide
berliner-stainless-steel-slide-trii3,,Stainless Steel Slide Trii3,77,name_only_active,14434.0,12268.9,0.0,flat_uplift,642441.26,642441.26,0.35,,1070735.43,32400.19,27605.03,0.0,0.0,0.0,Straight concave stainless steel slide
berliner-fast-lane-slide-trii1,,Fast Lane Slide Trii1,77,name_only_active,4589.0,3900.65,0.0,flat_uplift,219381.0,204251.28,0.45,floored,365635.0,11064.02,9426.57,0.0,0.0,0.0,Attachment height approx. 1 m
berliner-fast-lane-slide-boo-doubleboo-triitopia-02,,"Fast Lane Slide Boo, DoubleBoo, Triitopia.02",77,name_only_active,5743.0,4881.55,0.0,flat_uplift,274548.94,255614.53,0.45,floored,457581.57,13846.3,11797.08,0.0,0.0,0.0,"Attachment height approx. 1,5 m"
berliner-fast-lane-slide-trii2-bam-splash-peak,,"Fast Lane Slide Trii2, Bam, Splash, Peak",77,name_only_active,7084.0,6021.4,0.0,flat_uplift,338656.57,315300.95,0.45,floored,564427.62,17079.44,14551.72,0.0,0.0,0.0,Attachment height approx. 2 m
berliner-triangular-net-with-small-sand-workshop,,Triangular Net with Small Sand Workshop,77,name_only_active,3351.0,2848.35,0.0,flat_uplift,160197.37,149149.28,0.45,floored,266995.62,8079.22,6883.51,0.0,0.0,0.0,
berliner-flag,,Flag,77,name_only_active,674.0,572.9,0.0,flat_uplift,35554.36,29998.99,0.6,floored,59257.27,1793.11,1527.73,0.0,0.0,0.0,
berliner-90-294-001-237,90.294.001.237,Leaf L,77,active,1072.0,911.2,0.0,flat_uplift,56549.36,47713.53,0.6,floored,94248.93,2851.95,2429.87,0.0,0.0,0.0,Price without fixings
berliner-90-294-001-236,90.294.001.236,Leaf M,77,active,906.0,770.1,0.0,flat_uplift,47792.65,40325.05,0.6,floored,79654.42,2410.32,2053.6,0.0,0.0,0.0,Price without fixings
berliner-90-294-001-235,90.294.001.235,Leaf S,77,active,845.0,718.25,0.0,flat_uplift,44574.82,37610.01,0.6,floored,74291.37,2248.04,1915.33,0.0,0.0,0.0,Price without fixings
berliner-90-295-002,90.295.002,Tower2,82,active,120485.0,102412.25,0.0,flat_uplift,5362653.1,5362653.1,0.35,,8937755.17,270454.23,230427.56,0.0,0.0,0.0,
berliner-90-295-007,90.295.007,Tower7,82,active,210443.0,178876.55,0.0,flat_uplift,9366583.44,9366583.44,0.35,floored,15610972.4,472384.12,402472.24,0.0,0.0,0.0,
berliner-90-295-003,90.295.003,Tower3,83,active,86604.0,73613.4,0.0,flat_uplift,3854647.54,3854647.54,0.35,floored,6424412.57,194401.12,165630.15,0.0,0.0,0.0,
berliner-90-295-005,90.295.005,Tower5,83,active,98435.0,83669.75,0.0,flat_uplift,4381232.17,4381232.17,0.35,,7302053.62,220958.31,188256.94,0.0,0.0,0.0,
berliner-90-295-001,90.295.001,Tower1,84,active,55475.0,47153.75,0.0,flat_uplift,2469130.44,2469130.44,0.35,,4115217.4,124525.45,106095.94,0.0,0.0,0.0,
berliner-90-295-006,90.295.006,Tower6,84,active,45054.0,38295.9,0.0,flat_uplift,2005303.34,2005303.34,0.35,,3342172.23,101133.3,86165.77,0.0,0.0,0.0,
berliner-90-295-004,90.295.004,Tower4,85,active,202854.0,172425.9,0.0,flat_uplift,9028805.51,9028805.51,0.35,,15048009.18,455348.99,387958.27,0.0,0.0,0.0,
berliner-90-280-004,90.280.004,QuadroBoo,87,active,78551.0,66768.35,0.0,flat_uplift,3496217.48,3496217.48,0.35,floored,5827029.13,176324.44,150228.79,0.0,0.0,0.0,
berliner-peak,,Peak,87,name_only_active,8513.0,7236.05,0.0,flat_uplift,406971.12,378904.14,0.45,floored,678285.2,20524.74,17487.12,0.0,0.0,0.0,
berliner-splash,,Splash,87,name_only_active,8470.0,7199.5,0.0,flat_uplift,404915.47,376990.26,0.45,floored,674859.12,20421.07,17398.79,0.0,0.0,0.0,
berliner-90-270-001,90.270.001,Bam.01,88,active,42612.0,36220.2,0.0,flat_uplift,1896612.64,1896612.64,0.35,,3161021.07,95651.71,81495.45,0.0,0.0,0.0,
berliner-90-270-000,90.270.000,Bam,88,active,29175.0,24798.75,0.0,flat_uplift,1298546.74,1298546.74,0.35,floored,2164244.57,65489.5,55797.19,0.0,0.0,0.0,
berliner-90-280-000,90.280.000,Boo,89,active,22868.0,19437.8,0.0,flat_uplift,1017829.2,1017829.2,0.35,,1696382.0,51332.09,43735.05,0.0,0.0,0.0,
berliner-90-280-002,90.280.002,Boo.02,89,active,30492.0,25918.2,0.0,flat_uplift,1357164.94,1357164.94,0.35,floored,2261941.57,68445.79,58315.95,0.0,0.0,0.0,
berliner-90-280-000-2,90.280.000.2,DoubleBoo,90,active,42246.0,35909.1,0.0,flat_uplift,1880322.39,1880322.39,0.35,,3133870.65,94830.14,80795.48,0.0,0.0,0.0,
berliner-90-280-000-3,90.280.000.3,TripleBoo,90,active,63815.0,54242.75,0.0,flat_uplift,2840334.54,2840334.54,0.35,floored,4733890.9,143246.35,122046.19,0.0,0.0,0.0,
berliner-90-280-014,90.280.014,QuadroBoo.14,91,active,85363.0,72558.55,0.0,flat_uplift,3799412.01,3799412.01,0.35,floored,6332353.35,191615.43,163256.74,0.0,0.0,0.0,
berliner-90-292-001,90.292.001,Peak.01,92,active,13431.0,11416.35,0.0,flat_uplift,597798.84,597798.84,0.35,floored,996331.4,30148.74,25686.79,0.0,0.0,0.0,
berliner-90-291-001,90.291.001,Splash.01,92,active,14627.0,12432.95,0.0,flat_uplift,651031.47,651031.47,0.35,floored,1085052.45,32833.42,27974.14,0.0,0.0,0.0,
berliner-91-200-022,91.200.022,PentaBoo M,93,active,48005.0,40804.25,0.0,flat_uplift,2136649.06,2136649.06,0.35,floored,3561081.77,107757.44,91809.56,0.0,0.0,0.0,
berliner-91-200-033,91.200.033,PentaBoo L,,active,48849.0,41521.65,0.0,flat_uplift,2174214.56,2174214.56,0.35,floored,3623690.93,109651.98,93423.71,0.0,0.0,0.0,
berliner-90-293-006,90.293.006,Greenville Combi.06,94,active,108789.0,92470.65,0.0,flat_uplift,4842077.17,4842077.17,0.35,floored,8070128.62,244200.07,208058.96,0.0,0.0,0.0,
berliner-90-293-002,90.293.002,Greenville Combi.02,95,active,63012.0,53560.2,0.0,flat_uplift,2804593.91,2804593.91,0.35,,4674323.18,141443.85,120510.45,0.0,0.0,0.0,
berliner-90-293-003,90.293.003,Greenville Combi.03,95,active,47318.0,40220.3,0.0,flat_uplift,2106071.46,2106071.46,0.35,,3510119.1,106215.33,90495.68,0.0,0.0,0.0,
berliner-90-293-795,90.293.795,Greenville Combi.795,96,active,267865.0,227685.25,0.0,flat_uplift,11922372.68,11922372.68,0.35,floored,19870621.13,601280.02,512291.81,0.0,0.0,0.0,
berliner-90-293-793,90.293.793,Greenville Combi.793,97,active,115560.0,98226.0,0.0,flat_uplift,5143446.84,5143446.84,0.35,,8572411.4,259399.02,221008.5,0.0,0.0,0.0,
berliner-90-293-045,90.293.045,Greenville Combi.045,97,active,36155.0,30731.75,0.0,flat_uplift,1609218.76,1609218.76,0.35,floored,2682031.27,81157.59,69146.44,0.0,0.0,0.0,
berliner-90-293-700,90.293.700,Greenville Combi.700,98,active,141847.0,120569.95,0.0,flat_uplift,6313451.92,6313451.92,0.35,,10522419.87,318405.79,271282.39,0.0,0.0,0.0,Price with stainless steel slide and Fast Lane Slide
berliner-90-293-024,90.293.024,Greenville Combi.024,99,active,62294.0,52949.9,0.0,flat_uplift,2772636.53,2772636.53,0.35,,4621060.88,139832.15,119137.27,0.0,0.0,0.0,
berliner-90-293-444,90.293.444,Greenville Combi.444,100,active,296198.0,251768.3,0.0,flat_uplift,13183442.94,13183442.94,0.35,floored,21972404.9,664879.47,566478.67,0.0,0.0,0.0,
berliner-90-224-100-2,90.224.100.2,Woodville Combi.02,107,active,44489.0,37815.65,0.0,flat_uplift,1980155.82,1980155.82,0.35,,3300259.7,99865.03,85085.21,0.0,0.0,0.0,
berliner-90-224-100-3,90.224.100.3,Woodville Combi.03,108,active,58411.0,49649.35,0.0,flat_uplift,2599808.53,2599808.53,0.35,,4333014.22,131115.93,111711.04,0.0,0.0,0.0,
berliner-90-224-103-3,90.224.103.3,Woodville Combi.033,109,active,44053.0,37445.05,0.0,flat_uplift,1960749.94,1960749.94,0.35,floored,3267916.57,98886.34,84251.36,0.0,0.0,0.0,
berliner-90-224-100-4,90.224.100.4,Woodville Combi.04,110,active,37535.0,31904.75,0.0,flat_uplift,1670641.03,1670641.03,0.35,,2784401.72,84255.3,71785.69,0.0,0.0,0.0,
berliner-90-224-100-5,90.224.100.5,Woodville Combi.05,111,active,44469.0,37798.65,0.0,flat_uplift,1979265.64,1979265.64,0.35,floored,3298776.07,99820.14,85046.96,0.0,0.0,0.0,Price with stainless steel slide
berliner-90-224-010-1,90.224.010.1,Shack1.01,112,active,19786.0,16818.1,0.0,flat_uplift,880652.81,880652.81,0.35,floored,1467754.68,44413.89,37840.72,0.0,0.0,0.0,
berliner-90-224-030-100-02,90.224.030.100.02,Shack3.02,112,active,16920.0,14382.0,0.0,flat_uplift,753090.35,753090.35,0.35,,1255150.58,37980.54,32359.5,0.0,0.0,0.0,
berliner-90-224-020-1,90.224.020.1,Shack2.01,113,active,24057.0,20448.45,0.0,flat_uplift,1070750.26,1070750.26,0.35,floored,1784583.77,54001.06,46009.01,0.0,0.0,0.0,
berliner-90-224-040-100-02,90.224.040.100.02,Shack4.02,113,active,18019.0,15316.15,0.0,flat_uplift,802005.61,802005.61,0.35,floored,1336676.02,40447.48,34461.34,0.0,0.0,0.0,
berliner-access-net-shack1,,Access Net Shack1,114,name_only_active,943.0,801.55,0.0,flat_uplift,49744.45,41971.88,0.6,floored,82907.42,2508.76,2137.47,0.0,0.0,0.0,
berliner-access-net-shack2,,Access Net Shack2,114,name_only_active,1121.0,952.85,0.0,flat_uplift,59134.18,49894.46,0.6,floored,98556.97,2982.31,2540.93,0.0,0.0,0.0,
berliner-rope-ladder-shack1,,Rope Ladder Shack1,114,name_only_active,470.0,399.5,0.0,flat_uplift,27892.24,20919.18,0.8,floored,46487.07,1406.69,1198.5,0.0,0.0,0.0,
berliner-rope-ladder-shack2,,Rope Ladder Shack2,114,name_only_active,565.0,480.25,0.0,flat_uplift,33530.03,25147.52,0.8,floored,55883.38,1691.02,1440.75,0.0,0.0,0.0,
berliner-climbing-rope-shack1,,Climbing Rope Shack1,114,name_only_active,251.0,213.35,0.0,flat_uplift,14895.64,11171.73,0.8,floored,24826.07,751.23,640.05,0.0,0.0,0.0,
berliner-climbing-rope-shack2,,Climbing Rope Shack2,114,name_only_active,317.0,269.45,0.0,flat_uplift,18812.42,14109.32,0.8,floored,31354.03,948.77,808.35,0.0,0.0,0.0,
berliner-access-bridge,,Access Bridge,114,name_only_on_request,,,0.0,n/a,,,,,,,,,,,Price depends on individual project
berliner-banister-shack1,,Banister Shack1,114,name_only_active,2570.0,2184.5,0.0,flat_uplift,122861.01,114387.84,0.45,floored,204768.35,6196.24,5279.21,0.0,0.0,0.0,
berliner-banister-shack2,,Banister Shack2,114,name_only_active,3353.0,2850.05,0.0,flat_uplift,160292.98,149238.29,0.45,floored,267154.97,8084.04,6887.62,0.0,0.0,0.0,
berliner-rocking-plates-shack1,,Rocking Plates Shack1,114,name_only_active,224.0,190.4,0.0,flat_uplift,13293.32,9969.99,0.8,floored,22155.53,670.42,571.2,0.0,0.0,0.0,
